building_id,building_name_cn,analysis_concession_cn,analysis_concession_en,boundary_attribution,source_facade_concessions_cn,boundary_facade_ids,facade_count,facade_ids,address,year,total_components,window_total,window_cluster_1_n,window_cluster_1_prop,window_cluster_2_n,window_cluster_2_prop,window_cluster_3_n,window_cluster_3_prop,door_total,door_cluster_1_n,door_cluster_1_prop,door_cluster_2_n,door_cluster_2_prop,column_total,column_cluster_1_n,column_cluster_1_prop,column_cluster_2_n,column_cluster_2_prop
B001,大陆坊、大陆银行（汉口分行）,英租界,British,Unambiguous,英租界,,1,F071,江岸区中山大道 911 号（大陆银行）、洞庭街 115 号（大陆坊）,1933 年,39,27,9,0.3333333333333333,8,0.2962962962962963,10,0.37037037037037035,8,0,0,8,1,4,4,1,0,0
B002,中央信托局汉口分局旧址,英租界,British,Unambiguous,英租界,,1,F010,江岸区沿江大道 134 号,1940 年代初,100,72,0,0,3,0.041666666666666664,69,0.9583333333333334,6,0,0,6,1,22,0,0,22,1
B003,浙江实业银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F070,江岸区中山大道 909 号,1926 年,19,5,0,0,0,0,5,1,3,0,0,3,1,11,0,0,11,1
B004,中孚银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F065,江岸区中山大道 897 号,1928 年,11,5,4,0.8,0,0,1,0.2,1,0,0,1,1,5,5,1,0,0
B005,老沙逊洋行仓库,英租界,British,Unambiguous,英租界,,1,F012,江岸区沿江大道 136 号,1920 年,130,119,0,0,24,0.20168067226890757,95,0.7983193277310925,5,0,0,5,1,6,0,0,6,1
B006,沿江大道 140 号（太吉洋行汉口分行）,英租界,British,Unambiguous,英租界,,1,F016,江岸区沿江大道 140 号,1916 年,47,27,13,0.48148148148148145,0,0,14,0.5185185185185185,1,0,0,1,1,19,0,0,19,1
B007,沿江大道 144 号建筑,英租界,British,Unambiguous,英租界,,1,F019,江岸区沿江大道 144 号,1920 年代,31,12,6,0.5,0,0,6,0.5,1,0,0,1,1,18,0,0,18,1
B008,汉润里,英租界,British,Unambiguous,英租界,,1,F074,江岸区汉润里 1-63 号（中山大道与交易街之间）,1916 年,11,6,0,0,0,0,6,1,3,0,0,3,1,2,0,0,2,1
B009,叶蓬公馆旧址,英租界,British,Unambiguous,英租界,,1,F001,江岸区洞庭街 105 号,1930 年代,27,18,4,0.2222222222222222,0,0,14,0.7777777777777778,5,0,0,5,1,4,0,0,4,1
B010,大孚银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F059,江岸区中山大道 885 号,1929 年,18,9,0,0,3,0.3333333333333333,6,0.6666666666666666,5,3,0.6,2,0.4,4,0,0,4,1
