building_id,building_name_cn,analysis_concession_cn,analysis_concession_en,boundary_attribution,source_facade_concessions_cn,boundary_facade_ids,facade_count,facade_ids,address,year,window_count_mean,mean_window_area_px2,mean_window_aspect_ratio,total_window_area_ratio,door_count_mean,mean_door_area_px2,mean_door_aspect_ratio,total_door_area_ratio,column_count_mean,mean_column_area_px2,mean_column_width_height_ratio,total_column_area_ratio,facade_width_height_ratio,edge_pixel_ratio,opening_area_proxy,contour_count_mean,curve_contour_ratio,symmetry_degree
B001,大陆坊、大陆银行（汉口分行）,英租界,British,Unambiguous,英租界,,1,F071,江岸区中山大道 911 号（大陆银行）、洞庭街 115 号（大陆坊）,1933 年,22.0,14486.55,0.728,0.2026,16.0,43088.0,1.389,0.4382,7.0,7461.36,0.784,0.0332,1.322,0.1348,0.0414,2.0,0.0,0.761
B002,中央信托局汉口分局旧址,英租界,British,Unambiguous,英租界,,1,F010,江岸区沿江大道 134 号,1940 年代初,7.0,123261.79,3.469,0.5487,9.0,12944.5,1.304,0.0741,15.0,41165.7,0.825,0.3927,1.333,0.1454,0.7508,1.0,0.0,0.696
B003,浙江实业银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F070,江岸区中山大道 909 号,1926 年,5.0,48814.8,1.101,0.1552,8.0,29619.5,3.557,0.1507,13.0,26390.5,0.626,0.2182,1.333,0.0863,0.2976,6.0,0.333,0.841
B004,中孚银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F065,江岸区中山大道 897 号,1928 年,5.0,44596.8,0.644,0.1418,27.0,21887.81,1.021,0.3757,7.0,41167.29,0.548,0.1832,0.751,0.1519,0.0764,10.0,0.2,0.559
B005,老沙逊洋行仓库,英租界,British,Unambiguous,英租界,,1,F012,江岸区沿江大道 136 号,1920 年,13.0,57422.85,0.639,0.4745,5.0,8477.3,0.492,0.0269,25.0,4588.56,0.911,0.0729,1.777,0.111,0.1636,20.0,0.65,0.928
B006,沿江大道 140 号（太吉洋行汉口分行）,英租界,British,Unambiguous,英租界,,1,F016,江岸区沿江大道 140 号,1916 年,27.0,22284.04,0.904,0.3826,6.0,33512.08,1.508,0.1279,11.0,38568.77,0.294,0.2698,1.333,0.1731,0.3376,10.0,0.4,0.808
B007,沿江大道 144 号建筑,英租界,British,Unambiguous,英租界,,1,F019,江岸区沿江大道 144 号,1920 年代,12.0,37398.29,0.631,0.2854,1.0,36517.5,0.588,0.0232,7.0,78159.29,0.159,0.3479,1.333,0.1339,0.443,2.0,0.5,0.89
B008,汉润里,英租界,British,Unambiguous,英租界,,1,F074,江岸区汉润里 1-63 号（中山大道与交易街之间）,1916 年,6.0,20339.25,0.696,0.0776,10.0,17204.5,0.707,0.1093,2.0,87874.75,0.105,0.1117,0.92,0.0988,0.1162,3.0,0.0,0.829
B009,叶蓬公馆旧址,英租界,British,Unambiguous,英租界,,1,F001,江岸区洞庭街 105 号,1930 年代,13.0,39923.85,1.218,0.33,29.0,13149.84,0.824,0.2425,8.0,41578.38,0.81,0.2115,1.333,0.1906,0.2063,11.0,0.364,0.715
B010,大孚银行（汉口分行）旧址,英租界,British,Unambiguous,英租界,,1,F059,江岸区中山大道 885 号,1929 年,8.0,23887.25,1.102,0.1215,23.0,15975.43,2.004,0.2336,9.0,14679.39,1.095,0.084,1.309,0.1114,0.0698,7.0,0.143,0.774
