component_id,building_id,facade_id,building_name,concession,concession_cn,component_type,image_name,resnet_cluster,cluster_code,cluster_informed_visual_grouping,Distance_to_Cluster_Center
WIN0001,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗1.png,1,W1,Arched/ornamented tendency,10.61686
WIN0002,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗10.png,3,W3,Rectilinear tendency,9.422023
WIN0003,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗11.png,3,W3,Rectilinear tendency,13.813903
WIN0004,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗12.png,1,W1,Arched/ornamented tendency,10.15933
WIN0005,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗13.png,3,W3,Rectilinear tendency,12.367661
WIN0006,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗14.png,3,W3,Rectilinear tendency,12.064602
WIN0007,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗15.png,3,W3,Rectilinear tendency,10.0440645
WIN0008,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗16.png,3,W3,Rectilinear tendency,8.900703
WIN0009,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗17.png,3,W3,Rectilinear tendency,8.580028
WIN0010,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗18.png,3,W3,Rectilinear tendency,9.250438
WIN0011,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗2.png,3,W3,Rectilinear tendency,9.770438
WIN0012,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗3.png,1,W1,Arched/ornamented tendency,10.24251
WIN0013,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗4.png,3,W3,Rectilinear tendency,10.704072
WIN0014,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗5.png,1,W1,Arched/ornamented tendency,10.799446
WIN0015,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗6.png,3,W3,Rectilinear tendency,9.543088
WIN0016,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗7.png,3,W3,Rectilinear tendency,9.199531
WIN0017,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗8.png,3,W3,Rectilinear tendency,13.56547
WIN0018,B009,F001,叶蓬公馆旧址,British,英租界,Window,窗9.png,3,W3,Rectilinear tendency,10.92903
WIN0019,B031,F002,胜利街 112-114 号建筑,Russian,俄租界,Window,窗1.png,3,W3,Rectilinear tendency,13.06934
WIN0020,B031,F002,胜利街 112-114 号建筑,Russian,俄租界,Window,窗10.png,3,W3,Rectilinear tendency,6.9001074
WIN0021,B031,F002,胜利街 112-114 号建筑,Russian,俄租界,Window,窗11.png,3,W3,Rectilinear tendency,7.573238
