facade_id,building_id,building_name,concession,concession_cn,Window count,Mean window area,Mean window width-to-height ratio,Total window-area ratio,Door count,Mean door area,Mean door width-to-height ratio,Total door-area ratio,Column count,Mean column area,Mean column width-to-height ratio,Total column-area ratio,Facade image width-to-height ratio,Edge-pixel ratio,Edge-derived opening-area proxy,Contour count,Curved-contour ratio,Symmetry degree,opencv_filename,record_audit_status,correction_scope
F001,B009,叶蓬公馆旧址,British,英租界,13,39923.85,1.218,0.33,29,13149.84,0.824,0.2425,8,41578.38,0.81,0.2115,1.333,0.1906,0.2063,11,0.364,0.715,building_105_38.png,No coordinate-system mismatch detected,No change
F002,B031,胜利街 112-114 号建筑,Russian,俄租界,8,22425.44,1.046,0.1141,13,25865.08,1.217,0.2138,12,17018.38,0.777,0.1298,1.5,0.1127,0.1588,12,0.25,0.419,building_112_114_47.png,No coordinate-system mismatch detected,No change
F003,B031,胜利街 112-114 号建筑,Russian,俄租界,41,18852.09,0.882,0.4915,11,3778.45,0.967,0.0264,8,5090.19,1.109,0.0259,1.333,0.198,0.0737,10,0.1,0.508,building_119_1_48.png,No coordinate-system mismatch detected,No change
F004,B031,胜利街 112-114 号建筑,Russian,俄租界,18,32569.33,0.519,0.3728,1,37345.0,0.733,0.0237,4,15400.62,0.345,0.0392,1.333,0.1227,0.5414,5,0.2,0.87,building_119_2_49.png,No coordinate-system mismatch detected,No change
F005,B039,邮局职员宿舍,French,法租界,25,56823.94,1.199,0.4483,2,31316.25,0.738,0.0198,9,52875.89,0.623,0.1502,1.493,0.1905,0.0711,19,0.053,0.78,building_120_39.png,No coordinate-system mismatch detected,No change
F006,B023,周星堂公馆,Russian,俄租界,14,34480.0,0.814,0.307,6,110746.42,1.04,0.4226,7,44702.0,0.17,0.199,1.333,0.1868,0.7288,1,0.0,0.663,building_12_19.png,No coordinate-system mismatch detected,No change
F007,B023,周星堂公馆,Russian,俄租界,10,26707.4,0.835,0.1698,2,36059.75,0.556,0.0459,1,84571.0,0.273,0.0538,1.333,0.0585,0.4095,3,0.333,0.662,building_12_2_20.png,No coordinate-system mismatch detected,No change
F008,B023,周星堂公馆,Russian,俄租界,3,31084.5,0.719,0.0593,6,22397.5,2.146,0.0855,1,36140.5,0.264,0.023,1.333,0.0636,0.6094,1,0.0,0.584,building_12_3_21.png,No coordinate-system mismatch detected,No change
F009,B043,洞庭街 38-40 号建筑,French,法租界,3,55288.0,0.418,0.286,4,13560.38,0.692,0.0935,1,324.0,1.0,0.0006,0.804,0.1373,0.2685,2,0.0,0.761,building_133_40.png,No coordinate-system mismatch detected,No change
F010,B002,中央信托局汉口分局旧址,British,英租界,7,123261.79,3.469,0.5487,9,12944.5,1.304,0.0741,15,41165.7,0.825,0.3927,1.333,0.1454,0.7508,1,0.0,0.696,building_134_23.png,No coordinate-system mismatch detected,No change
F011,B044,关麟书旧宅,French,法租界,13,9206.77,0.764,0.2064,13,17243.62,0.956,0.3866,2,558.5,0.894,0.0019,0.804,0.1001,0.0208,6,0.333,0.608,building_135_41.png,No coordinate-system mismatch detected,No change
