scenario_id,scenario,component_type,n_buildings,total_components,chi2,df,naive_p,cramers_v,building_cluster_permutation_p,BH_FDR_cluster_p
S1,All five concessions — primary,Window,59,1522,78.75789038955503,8,8.690936608802286e-14,0.16085135112332163,0.8965,0.8965
S1,All five concessions — primary,Door,59,251,4.436303490557346,4,0.35016719356172477,0.13294553734005082,0.8768,0.8965
S1,All five concessions — primary,Column,57,683,27.273325684981224,4,1.7503086732773827e-05,0.19982908394209778,0.8466,0.8965
S2,All five concessions — exclude attribution-sensitive buildings,Window,54,1394,74.61541068940394,8,5.88950711394477e-13,0.16359419240353545,0.9327,0.9327
S2,All five concessions — exclude attribution-sensitive buildings,Door,54,222,4.993572552956653,4,0.2879576274692025,0.14997856532972736,0.8765,0.9327
S2,All five concessions — exclude attribution-sensitive buildings,Column,52,592,50.36123135742677,4,3.035130823642782e-10,0.29166701487007557,0.5828,0.9327
S3,British–French–Russian only,Window,53,1424,50.2861693292113,4,3.146689576407424e-10,0.132878367611425,0.8163,0.8163
S3,British–French–Russian only,Door,53,233,2.233319681121715,2,0.3273714432842113,0.0979033350254529,0.8101,0.8163
S3,British–French–Russian only,Column,51,660,16.27961988537251,2,0.00029169263128561983,0.15705441966214417,0.6614,0.8163
S4,British–French–Russian only — exclude attribution-sensitive buildings,Window,48,1296,49.19524736732247,4,5.31602991719395e-10,0.13776664292948274,0.8661,0.8661
S4,British–French–Russian only — exclude attribution-sensitive buildings,Door,48,204,2.634256071422865,2,0.2679036077586181,0.1136354696296681,0.8062,0.8661
S4,British–French–Russian only — exclude attribution-sensitive buildings,Column,46,569,38.68429835485022,2,3.979342718375062e-09,0.2607421419631258,0.3784,0.8661
