scenario_id,scenario,feature,n_buildings,H,epsilon_squared,permutation_p,BH_FDR_p
S1,All five concessions — primary,window_count_mean,59,8.155823615261019,0.07695969657890776,0.0718,0.3357
S1,All five concessions — primary,mean_window_area_px2,59,2.715636971057174,0.0,0.6202,0.8331428571428571
S1,All five concessions — primary,mean_window_aspect_ratio,59,1.8884481964640063,0.0,0.7773,0.93276
S1,All five concessions — primary,total_window_area_ratio,59,12.255090748673046,0.1528720509013527,0.0086,0.1548
S1,All five concessions — primary,door_count_mean,59,2.6317381102140454,0.0,0.648,0.8331428571428571
S1,All five concessions — primary,mean_door_area_px2,59,8.117475499507469,0.07624954628717535,0.0746,0.3357
S1,All five concessions — primary,mean_door_aspect_ratio,59,5.328052485788713,0.02459356455164283,0.2575,0.579375
S1,All five concessions — primary,total_door_area_ratio,59,7.527592145598975,0.06532578047405509,0.0991,0.35675999999999997
S1,All five concessions — primary,column_count_mean,59,11.064577676369847,0.13082551252536753,0.0175,0.15750000000000003
S1,All five concessions — primary,mean_column_area_px2,59,1.2159549181606013,0.0,0.892,0.9444705882352942
S1,All five concessions — primary,mean_column_width_height_ratio,59,4.002341167924304,4.335496156118826e-05,0.4314,0.6534
S1,All five concessions — primary,total_column_area_ratio,59,4.927962136985248,0.017184484018245332,0.2939,0.5878
S1,All five concessions — primary,facade_width_height_ratio,59,1.335446415134875,0.0,0.8663,0.9444705882352942
S1,All five concessions — primary,edge_pixel_ratio,59,0.6782489424069793,0.0,0.9566,0.9566000000000001
S1,All five concessions — primary,opening_area_proxy,59,4.0460447424535,0.0008526804158055512,0.4163,0.6534
S1,All five concessions — primary,contour_count_mean,59,3.908182398036241,0.0,0.4356,0.6534
S1,All five concessions — primary,curve_contour_ratio,59,6.113775169710368,0.039143984624266076,0.1899,0.5697
S1,All five concessions — primary,symmetry_degree,59,5.682780026500055,0.03116259308333435,0.2258,0.579375
S2,All five concessions — exclude attribution-sensitive buildings,window_count_mean,54,7.06915586902756,0.06263583406178695,0.1217,0.3646285714285714
S2,All five concessions — exclude attribution-sensitive buildings,mean_window_area_px2,54,3.1733677125649424,0.0,0.559,0.7187142857142857
S2,All five concessions — exclude attribution-sensitive buildings,mean_window_aspect_ratio,54,1.8427898807254532,0.0,0.7807,0.9008470588235293
S2,All five concessions — exclude attribution-sensitive buildings,total_window_area_ratio,54,11.85438134084115,0.1602934967518602,0.0131,0.1179
S2,All five concessions — exclude attribution-sensitive buildings,door_count_mean,54,3.776142196424465,0.0,0.4566,0.6924
S2,All five concessions — exclude attribution-sensitive buildings,mean_door_area_px2,54,9.476205360546293,0.11175929307237334,0.0413,0.18585000000000002
S2,All five concessions — exclude attribution-sensitive buildings,mean_door_aspect_ratio,54,7.433760986288229,0.07007675482220876,0.101,0.36360000000000003
S2,All five concessions — exclude attribution-sensitive buildings,total_door_area_ratio,54,9.929527113124719,0.12101075741070855,0.0303,0.1818
S2,All five concessions — exclude attribution-sensitive buildings,column_count_mean,54,12.051517131242747,0.16431667614781117,0.0087,0.1179
S2,All five concessions — exclude attribution-sensitive buildings,mean_column_area_px2,54,1.6349252333394972,0.0,0.816,0.9008470588235293
S2,All five concessions — exclude attribution-sensitive buildings,mean_column_width_height_ratio,54,4.384150960349856,0.007839815517343992,0.378,0.6804
S2,All five concessions — exclude attribution-sensitive buildings,total_column_area_ratio,54,4.550974644803981,0.011244380506203694,0.3545,0.6804
S2,All five concessions — exclude attribution-sensitive buildings,facade_width_height_ratio,54,0.5787150327389569,0.0,0.972,0.972
S2,All five concessions — exclude attribution-sensitive buildings,edge_pixel_ratio,54,1.4663203463203445,0.0,0.8508,0.9008470588235293
S2,All five concessions — exclude attribution-sensitive buildings,opening_area_proxy,54,3.7650216450216476,0.0,0.4616,0.6924
