feature,N_facades,H,df,raw_p,epsilon_squared,BH_FDR_p,FDR_significant_0.05
Window count,77,8.22659935332396,4,0.08362148857484318,0.05870276879616612,0.3266637301114822,No
Mean window area,77,2.5085656505833978,4,0.6431026401591774,0.0,0.7881246332771498,No
Mean window width-to-height ratio,77,3.23005288169609,4,0.5200906102221396,0.0,0.720125460307578,No
Total window-area ratio,77,11.277344290564969,4,0.023617668544727834,0.10107422625784679,0.3266637301114822,No
Door count,77,2.4324532522700166,4,0.6567705277309581,0.0,0.7881246332771498,No
Mean door area,77,8.022982765946967,4,0.09073992503096728,0.05587476063815232,0.3266637301114822,No
Mean door width-to-height ratio,77,5.315830122336844,4,0.25639867247877507,0.018275418365789498,0.7059166699635572,No
Total door-area ratio,77,8.910461387076257,4,0.06337690332018178,0.06820085259828135,0.3266637301114822,No
Column count,77,8.705608840919615,4,0.06889416405963548,0.06535567834610576,0.3266637301114822,No
Mean column area,77,0.9560876280035168,4,0.9163798216463142,0.0,0.9163798216463142,No
Mean column width-to-height ratio,77,4.314496837888828,4,0.365113314034231,0.00436801163734483,0.7059166699635572,No
Total column-area ratio,77,4.065941769918098,4,0.39715515511364646,0.0009158579155291354,0.7059166699635572,No
Facade image width-to-height ratio,77,2.0559863153130933,4,0.7254621014415826,0.0,0.8161448641217804,No
Edge-pixel ratio,77,1.5870354949027285,4,0.8111203538563555,0.0,0.8588333158479058,No
Edge-derived opening-area proxy,77,3.5264556136163123,4,0.4738671289826951,0.0,0.7108006934740426,No
Contour count,77,3.8166100061527817,4,0.43139352053328495,0.0,0.7059166699635572,No
Curved-contour ratio,77,4.364703266484699,4,0.35889292198268363,0.005065323145620816,0.7059166699635572,No
Symmetry degree,77,4.635773249142551,4,0.3267504323824309,0.00883018401586877,0.7059166699635572,No
